time,price_stock,volume_stock,topic_1_impact_normalised,topic_2_impact_normalised,sentiment_impact,sentiment_impact_std
2022-03-02 20:15:00,80.32,16699,0,1.8432411,-0.7823403567,0
2022-03-02 20:20:00,80.21,19925,0.1686482201,1.638300007,-0.4016676745,0.4562990041
2022-03-02 20:25:00,80.2,13585,1.881790807,0,-0.5663612471,0.3006505657
2022-03-02 20:30:00,80.2,17037,1.144632836,0.2466332709,-0.4264726036,0.4112698567
2022-03-02 20:35:00,80.18,13789,1.130549331,0.7108102751,-0.5470612682,0.231570633
2022-03-02 20:40:00,80.27,13095,1.160388435,0,-0.2458876993,0.2631321292
2022-03-02 20:45:00,80.28,17182,0.9571340488,0.3679805531,-0.3800391672,0.3696070285
2022-03-02 20:50:00,80.23,18433,0.8354515976,1.237020021,-1.225280727,0.883534142
2022-03-02 20:55:00,80.08,32336,1.244544466,0.1189207115,-0.6121972753,0.7084603754
2022-03-02 21:00:00,80.12,27599,0.5666497041,0.8944153798,-0.2332157304,0.5187000835
2022-03-02 21:05:00,80.235,36478,1.507804284,0,-0.385021626,0.7099567421
2022-03-02 21:10:00,80.23,26160,0.2213363839,0.3667918217,-0.0819719839,0.3076088226
2022-03-02 21:15:00,80.23,31129,0,0,0,0
2022-03-02 21:20:00,80.21,71445,0,0,0,0
2022-03-02 21:25:00,80.28,72493,0,1.667461132,-0.3141448912,0.6084738665
2022-03-02 21:30:00,80.43,40119,1.119835775,0,-0.5749962814,0.6022975782
2022-03-02 21:35:00,80.31,47360,0,1.926910311,-0.07200594249,0.4282308901
2022-03-02 21:40:00,80.24,37148,0.6638306788,0,-0.1437235579,0.2489365045
2022-03-02 21:45:00,80.305,58304,1.463731404,0.7338723662,-0.1710088725,1.757069007
2022-03-02 21:50:00,80.46,83484,0.9275083683,0,-0.2593983736,0.3645855456
2022-03-02 21:55:00,80.41,166746,1.005970973,1.100186782,-0.920481404,0.5757271045
2022-03-02 22:00:00,80.28,19105,0,0,0,0
2022-03-03 15:20:00,81.0392,104,0,2.372241944,-0.1793246352,0
2022-03-03 15:25:00,81.13,1600,0.9984556644,0.3950637352,-0.5267610711,0.7390289482
2022-03-03 15:30:00,81.63,157306,1.049723419,0.7145783132,-0.1131925836,0.4773049834
2022-03-03 15:35:00,80.78,37929,0.9791847791,0.4497790115,-0.4200152594,0.4316193674
2022-03-03 15:40:00,80.68,33029,1.109140407,0.2536040768,-0.5022596803,1.054043499
2022-03-03 15:45:00,81.04,54666,0.6616296369,0.7992020568,-0.09701257595,0.4892912306
2022-03-03 15:50:00,81.07,23630,1.502663294,0.2786648996,-0.637431323,0.7261429459
2022-03-03 15:55:00,80.81,29744,0.7121034177,1.074962836,-0.008772018258,0.2655564714
2022-03-03 16:00:00,80.92,66500,0.7571040267,0.05,-0.1552484581,0.1580744802
2022-03-03 16:05:00,81.05,57317,0.9881786866,0.3392151115,-0.06770063299,0.4608097312
2022-03-03 16:10:00,81.38,36497,0.6184711127,0.6625002003,0.009626511056,0.2693124464
2022-03-03 16:15:00,81.4181,37695,1.508956459,0.3751178808,-0.6702106707,0.5315039264
2022-03-03 16:20:00,81.53,25401,1.220746153,0.4953351434,-0.6629050644,0.7201444971
2022-03-03 16:25:00,81.505,26923,1.508956459,1.508956459,-1.26988537,0.3166499297
2022-03-03 16:30:00,81.63,59946,2.440493626,0,-1.080117763,0.1172379216
2022-03-03 16:35:00,81.54,33708,0.8441603832,0.1228472882,0.1640538307,0.1934024442
2022-03-03 16:40:00,81.37,32795,0.6359344177,0.8626014892,-0.2409633817,0.3654950844
2022-03-03 16:45:00,81.26,22837,0.9074087956,0.7957436025,-0.6024605333,0.3334260295
2022-03-03 16:50:00,81.38,60362,0.6422203241,0.4377467546,-0.2510341437,0.3926468209
2022-03-03 16:55:00,81.58,75089,0.4928238315,1.02602046,-0.3180980718,0.4984001295
2022-03-03 17:00:00,81.6,63097,1.290688769,0.5357580184,-0.44345976,0.1349144075
2022-03-03 17:05:00,81.52,43605,0.6842146909,0.420116408,-0.3742672407,0.5207017949
2022-03-03 17:10:00,81.555,20766,0.5116933679,0.2381113562,-0.3023199296,0.50294548
2022-03-03 17:15:00,81.43,116078,0.7154933464,0.3708051023,-0.2518961998,0.1994647123
2022-03-03 17:20:00,81.33,53130,0.1043898815,0.6346023806,-0.1988066361,0.3266146587
2022-03-03 17:25:00,81.22,30593,0.7627840417,0.3558062668,-0.3614717949,0.6083201015
2022-03-03 17:30:00,81.21,35907,1.263139014,0.3578899726,-0.6190390019,0.8073680166
2022-03-03 17:35:00,81.28,28536,0,1.650630625,-0.967767987,0
2022-03-03 17:40:00,81.2,17801,0.1,0.5066655239,-0.1793015422,0.1785151378
2022-03-03 17:45:00,81.38,42793,0.1459959135,0.9840192114,-0.2572598067,0.3618693377
2022-03-03 17:50:00,81.25,33083,1.48717604,0.4273795764,-0.7760719666,0.9398884529
2022-03-03 17:55:00,81.09,34488,0.2264521151,0.2108185107,-0.107339949,0.1910963229
2022-03-03 18:00:00,80.98,30306,1.011590702,0.7788937897,-0.07750022404,0.2623555076
2022-03-03 18:05:00,81.06,20234,0,1.121863997,-0.07013691091,0.3849708189
2022-03-03 18:10:00,81.12,18058,1.476375832,0.01621532853,-0.6029440217,0.2207069438
2022-03-03 18:15:00,81.2,292359,1.335370753,0.1076534235,-0.6029109763,0.3242427823
2022-03-03 18:20:00,81.16,18376,1.367154859,0.1426263587,-0.5796354495,0.3040205083
2022-03-03 18:25:00,81.05,15132,1.349002814,0.03021391915,-0.5367616469,0.2209542559
2022-03-03 18:30:00,81.06,52270,1.465909236,0,-0.5802382607,0.1344090611
2022-03-03 18:35:00,81.37,27993,0,0.3457673355,0.04835922124,0.06143048787
2022-03-03 18:40:00,81.29,15872,1.631321246,0.7498749531,-0.5728620043,0.6036852918
2022-03-03 18:45:00,81.285,24180,1.961804736,2.040058965,-1.427158826,1.825882462
2022-03-03 18:50:00,81.28,27675,0.6459009832,0.8495987986,-0.449454289,0.7747123762
2022-03-03 18:55:00,81.22,42080,0,0.7815783677,-0.5282542428,0.3777476078
2022-03-03 19:00:00,81.37,38537,1.062665131,0.9353749892,-0.8274540828,0.7078503621
